address,epoch_245_chain_expected_delta_gnk,epoch_246_chain_expected_delta_gnk,epoch_247_chain_expected_delta_gnk,epoch_248_chain_expected_delta_gnk,epoch_249_chain_expected_delta_gnk,epoch_250_chain_expected_delta_gnk,epoch_251_chain_expected_delta_gnk,epoch_252_chain_expected_delta_gnk,epoch_253_chain_expected_delta_gnk,epoch_254_chain_expected_delta_gnk,epoch_255_chain_expected_delta_gnk,total_chain_expected_delta_gnk
gonka15sptlamre9vq4m5t7pa7je5r2pc34kmlwvj0jz,,,,,,,,,,,,
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,,,,,,,,,,,,
gonka15pgw0fe32rv78hdj2clch9acy0mv08j7xkrmxz,,,,,,,,,,,,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,,,,,,,,,,,,
gonka14zg378dzun4p2zhyuaq59y2q0e340wzahgz97q,,,,,,,,,,,,
gonka14wp5g2auyarncnwk6ufl8stmyrlgzx0l0d3f80,,,,,,,,,,,,
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,,,,,,,,,,,,
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,,,,,,,,,,,,
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,,,,,,,,,,,,
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,,,,,,,,,,,,
gonka13kd0e5393704ummmwf7pqvphlm5qsqdpe3kal2,,,,,,,,,,,,
gonka13jelpte0qx5f0up3pzmmgnnqj5877rwfs08n7q,,,,,,,,,,,,
gonka1369ax8kr4ma8zu708jr3x2r902lfs8tcguyxl8,,,,,,,,,,,,
gonka12vq65qqgep5x2zvjxqzqtnsw2hpyz92czen8z5,,,,,,,,,,,,
gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,,,,,,,,,,,,
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,,,,,,,,,,,,
gonka12kqft8tme0z5zm6skx8zwja7aq8knqc0udfcwp,,,,,,,,,,,,
gonka12gc47yq8m7rnsa3aucq8mlzm7men8jaac7qkkz,,,,,,,,,,,,
gonka12fdlw5g8wex6v74nd42vfhnympsz5kn8p3adh5,,,,,,,,,,,,
gonka12fazh3etpdx947ldwen4wudnds7wu4kjp5vd76,,,,,,,,,,,,
gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,,,,,,,,,,,,
gonka129ks6ra4ddy8ppsfk0gr8yu24sqk3nanmm34cs,,,,,,,,,,,,
gonka125xgn4z89quhrjhv6qfgn83wqwlaykxs8upjrt,,,,,,,,,,,,
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,,,,,,,,,,,,
gonka123vh2t9er866647lsn6kclt8lfq2l9kwy4le76,,,,,,,,,,,,
gonka123fment8nj6mrekwv9rh5zmevxjd7t05c8azrd,,,,,,,,,,,,
gonka10ux22dq9a5dn5t4v370vzkww874yc6pmudxjen,,,,,,,,,,,,
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,,,,,,,,,,,,
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,,,,,,,,,,,,
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,,,,,,,,,,,,
gonka10kjjhgzngn2yj9fgrcfu4wf5lj6xv05u7xhz53,,,,,,,,,,,,
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,,,,,,,,,,,,
gonka10g4ak0ku3lezt0q3kk346updcyyz83369pqtgx,,,,,,,,,,,,
gonka10cyq8zuplcwr5ntesxn52wp5ky3a7c3nrqdce8,,,,,,,,,,,,
gonka107et3r7gxsrkce7wq42jjf5k98r5xvsfy6xsn5,,,,,,,,,,,,
gonka105qfr38n0rz0d2r8hererw9ws5qx7njcujezvu,,,,,,,,,,,,
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,,,,,,,,,,,,
gonka100xav7dpl82gxrtg72yjhpz2zn6f24gv035ted,,,,,,,,,,,,
