address,epoch_245_035_bug_fix_expected_minus_actual_gnk,epoch_246_035_bug_fix_expected_minus_actual_gnk,epoch_247_035_bug_fix_expected_minus_actual_gnk,epoch_248_035_bug_fix_expected_minus_actual_gnk,epoch_249_035_bug_fix_expected_minus_actual_gnk,epoch_250_035_bug_fix_expected_minus_actual_gnk,epoch_251_035_bug_fix_expected_minus_actual_gnk,epoch_252_035_bug_fix_expected_minus_actual_gnk,epoch_253_035_bug_fix_expected_minus_actual_gnk,epoch_254_035_bug_fix_expected_minus_actual_gnk,epoch_255_035_bug_fix_expected_minus_actual_gnk,total_035_bug_fix_expected_minus_actual_gnk
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,,,,329.318816635,,,,,,,,329.318816635
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,,,,311.581116146,,,,,,,,311.581116146
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,,,,,91.164050131,85.141048734,95.004792792,,38.625743140,,,309.935634797
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,,,,279.452451109,,,,,,,,279.452451109
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,,,,244.981070912,,,,,1.391918671,30.921095543,,277.294085126
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,,,,252.678563577,,,,,,2.785684283,,255.464247860
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,,20.861885309,23.144084638,59.571899757,25.991452590,,37.597641403,39.928817546,,25.349726977,,232.445508220
gonka1nvvrc06zpk7cwmrekehlr8yqw4mgdfq94dc4ay,,205.774050553,,,,,,,,,,205.774050553
gonka1pvkv59e72vju2h7s9j3ex62c5xneqey350vpwn,,185.544343587,,,,,,,,,14.004901025,199.549244612
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,,,,192.771990225,,,,,,,,192.771990225
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,,,,,,,12.12827142,,2.783837343,163.241098993,,178.153207756
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,,,,,,,,,140.235806177,,36.461035428,176.696841605
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,,,,,,,71.152525665,,27.838373435,76.884886215,,175.875785315
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,,,,149.599096581,,,,,,,,149.599096581
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,,,,142.23627751,,,,0.424774655,,,3.139029540,145.800081705
gonka19kue8dlczfr0vl94tta3l9k5s08hwuu0zd5ewv,136.873042266,,,,,,,,,,,136.873042266
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,,,,121.821188267,,,,,,,1.448782864,123.269971131
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,,,,,,,,107.467987650,,,,107.467987650
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,,,,,,,,,,51.813727667,42.256166887,94.069894554
gonka1fkrsesmn2hdj30fhwyam6h4f2e77un36xalhvl,,,,,,,29.916402837,24.21215532,21.574739412,11.699873989,,87.403171558
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,,,,,,63.765210966,,,,,,63.765210966
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,,,,,,,,63.716198212,,,,63.716198212
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,57.679983642,,,,,,,,,,,57.679983642
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,44.585068437,,,,,,,2.548647928,,,,47.133716365
gonka175dvjafzhfxwgvrj83cm9ekmgh2a4u7nqv4azu,,,,,,,46.895982824,,,,,46.895982824
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,,,,,,,,23.362606011,,,,23.362606011
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,,,,,,,,22.513056701,,,,22.513056701
gonka1y4kyhqy022gt4kklxxflgqkutnx96ssww66zg6,,,,,,,,19.964408773,,,,19.964408773
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,,,,,,,,,,19.499789983,,19.499789983
gonka1h2m79scgaq6ultrwge03wjk0ys4whgcejphmql,,,,,,,4.042757140,,13.223227381,,,17.265984521
gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,,,,,,,,2.548647928,1.043939004,6.964210708,6.519522891,17.076320531
gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,,,,,,,,16.566211535,,,,16.566211535
gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,0.935351086,5.057426742,,,,,0.808551428,,,4.735663281,,11.536992537
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,,,,,,,,,,7.799915992,3.13902954,10.938945532
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,,,,,,,,,10.091410370,,,10.091410370
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,,,,,,,,,,8.078484422,1.931710486,10.010194908
gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,,,,,,,,,2.435857676,1.114273713,,3.550131389
gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,,,,,,,,,,0.835705285,0.241463811,1.077169096
gonka1yukev873tps58s6rlkh6czs5rrqp2sdqw7pm58,,,,,,,,,,,,
gonka1yt2s5u5k06rm2au8dsqm4kzwmw7klqsrd6xd95,,,,,,,,,,,,
gonka1yrfq267gf5jz76m3j5sln7f5h00t9g6fmat4gp,,,,,,,,,,,,
gonka1ym8g5f34h5zu4p4d4ldjnycfkty9qxpmyx5a3m,,,,,,,,,,,,
gonka1yewc6rmr5zhcpy6dnpt4wup990j299qt03x40s,,,,,,,,,,,,
gonka1xmgcpaw6n57ewn6s2fhggxaakemaaxuv4pdpmq,,,,,,,,,,,,
gonka1xfg6ed596n8ka7tjp7j604prf5n4mgv3h9d02t,,,,,,,,,,,,
gonka1x20c5d9wzatlr0t69xjm05x9uemq9mnk00udfa,,,,,,,,,,,,
gonka1wzujgkw64xvz3vqttg7ktl5tlsdga7l53g6d55,,,,,,,,,,,,
gonka1wfn87ruutktth7l8ne3rvhmlsscqxah09kua02,,,,,,,,,,,,
gonka1vz2jg42w39l63dmvmjqdsnxx0ywnzt9nzypdy7,,,,,,,,,,,,
