address,epoch_245_confirmation_minus_effective_reward_gnk,epoch_246_confirmation_minus_effective_reward_gnk,epoch_247_confirmation_minus_effective_reward_gnk,epoch_248_confirmation_minus_effective_reward_gnk,epoch_249_confirmation_minus_effective_reward_gnk,epoch_250_confirmation_minus_effective_reward_gnk,epoch_251_confirmation_minus_effective_reward_gnk,epoch_252_confirmation_minus_effective_reward_gnk,epoch_253_confirmation_minus_effective_reward_gnk,epoch_254_confirmation_minus_effective_reward_gnk,epoch_255_confirmation_minus_effective_reward_gnk,total_confirmation_minus_effective_reward_gnk
gonka1sq6myvv8r263v4ll5l3ny790nsg5s4507crtqr,0,,,,,,,,,,,0
gonka1sa32xmpxvv7nepfc22004rgdl4ddjvne42guce,0E-9,0E-9,0,,,,,,,,,0E-9
gonka1s43peau7vafujfxyape603yklhdzjh2stq702z,0,,,,,,,,,,,0
gonka1qv2dwvqxt542k5ewhggm2wtcpadvzg6mzupzg8,0E-9,,,,,,,,,,,0E-9
gonka1qsuduuah26qpym3te4tr6u8lh3hmecaxn9j7te,0,,,,,,,,,,,0
gonka1pcu4wfdv2jtpfsnhgjk4zp7d46z47928xj73st,0E-9,,,,,,,,,,,0E-9
gonka1p3hklp6flhdffdkwr70azcsum77fha3ecqwgg0,0,,,,,,,,,,,0
gonka1nkzdygk3g2p2usnueuqxyep3462350hgzxs86s,,,0E-9,0,,,,,,,,0E-9
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,,,,,,,,0E-9,,,,0E-9
gonka1mdy7nlecw4xaqdxmeh3qlqzakg9ftge9szfqgg,,,,,,0,,0E-9,,0,,0E-9
gonka1lyc347ysjruw7hvvejekqwu0y62cq0898dzarl,0E-9,,,,,,,,,,,0E-9
gonka1lwl6qhrdqw43sqc2y4eclfrngf799rnm7mmx87,,0E-9,,,,,,,,,,0E-9
gonka1l7p83akwkcxtksnwve23x5wp47zammznm4qus8,,0E-9,0,,,,,,,,,0E-9
gonka1l6pp6p5hgaa69rj0eazn73f7gkawue94fq5v9g,,,0E-9,,,,,,,,,0E-9
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,,,0E-9,0,,,,,,,,0E-9
gonka1l0enytn32rklk95dxrdt3v39hktxdw79trvgj5,,,0E-9,,,,,,,,,0E-9
gonka1kdmstpljv33v8lz457lmj8f9g995l7ygwm460s,,,0E-9,,,,,,,,,0E-9
gonka1jcelp2ad2x0jf2vnyhkhd6wquug0zpd09sxxw4,,,0E-9,,,,,,,,,0E-9
gonka1fwjwxw6cvspwautdrhr2jf4mfayy074t5npwnx,0,,,,,,,,,,,0
