address,epoch_245_poc_slot_allocation_weight,epoch_246_poc_slot_allocation_weight,epoch_247_poc_slot_allocation_weight,epoch_248_poc_slot_allocation_weight,epoch_249_event_1_preserved_weight,epoch_249_event_2_preserved_weight,epoch_249_event_3_preserved_weight,epoch_250_event_1_preserved_weight,epoch_250_event_2_preserved_weight,epoch_251_event_1_preserved_weight,epoch_251_event_2_preserved_weight,epoch_252_event_1_preserved_weight,epoch_252_event_2_preserved_weight,epoch_252_event_3_preserved_weight,epoch_253_event_1_preserved_weight,epoch_253_event_2_preserved_weight,epoch_254_event_1_preserved_weight,epoch_254_event_2_preserved_weight,epoch_254_event_3_preserved_weight,epoch_254_event_4_preserved_weight,epoch_255_event_1_preserved_weight,epoch_255_event_2_preserved_weight,epoch_255_event_3_preserved_weight,epoch_255_event_4_preserved_weight,total_preserved_event_weight
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,,,,,,,,,,,,,,,4113,4113,,,,,,,,,8226
gonka1043d00lu0v3fz53cut34twtcanalqg9u8vehp2,2046,2046,2046,2046,,,,,,,,,,,,,,,,,,,,,8184
gonka17tlh09e32xpv2uj433ytjnwwd8fh24jclpzm5s,1923,1923,1923,1923,,,,,,,,,,,,,,,,,,,,,7692
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,,627,627,627,,,,620,620,,620,,620,,,,630,630,,630,,618,618,,7487
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,2337,2337,2337,,,,,,,,,,,,,,,,,,,,,,7011
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,,627,627,627,,,,620,,620,,620,620,,,620,620,620,,,,,,620,6841
gonka17fcahf38xh8ghzyyrc55tarz9nd0vw6xd29nsk,1699,1699,1699,1699,,,,,,,,,,,,,,,,,,,,,6796
gonka1fp8zl07qccdzuekns2q55jgmcag40kjrm8z0z9,2314,,2215,2215,,,,,,,,,,,,,,,,,,,,,6744
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,,425,425,425,,,,,,420,420,420,420,,420,420,420,420,420,420,422,,422,422,6741
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,,,,,,,,1785,1785,906,,,,,,,,,884,884,,,,,6244
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,,,658,,,,,,,,591,591,,591,,591,,591,,591,608,,,608,5420
gonka1cckj93kp9kegry64scpn4ew9965g3qrswyshl9,,1792,1792,1792,,,,,,,,,,,,,,,,,,,,,5376
gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,,2549,2549,,,,,,,,,,,,,,,,,,,,,,5098
gonka1lswsj2x7u4606wqpunmm07skgf76r3dyz4v0d8,,,2529,2529,,,,,,,,,,,,,,,,,,,,,5058
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,2531,,2391,,,,,,,,,,,,,,,,,,,,,,4922
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,2329,,2452,,,,,,,,,,,,,,,,,,,,,,4781
gonka129ks6ra4ddy8ppsfk0gr8yu24sqk3nanmm34cs,2247,2247,,,,,,,,,,,,,,,,,,,,,,,4494
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,,268,268,268,,,,267,,257,257,257,257,257,257,257,254,254,254,254,268,268,,,4422
gonka14zg378dzun4p2zhyuaq59y2q0e340wzahgz97q,2187,2187,,,,,,,,,,,,,,,,,,,,,,,4374
gonka1c6y9p4w87equy52va4us3qzycz9w28ua9693gl,2065,2065,,,,,,,,,,,,,,,,,,,,,,,4130
gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,,2467,,1553,,,,,,,,,,,,,,,,,,,,,4020
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,931,931,931,931,,,,,,,,,,,,,,,,,,,,,3724
gonka1369ax8kr4ma8zu708jr3x2r902lfs8tcguyxl8,1701,1701,,,,,,,,,,,,,,,,,,,,,,,3402
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,,,1680,1680,,,,,,,,,,,,,,,,,,,,,3360
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,,,1640,1640,,,,,,,,,,,,,,,,,,,,,3280
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,,,1640,1640,,,,,,,,,,,,,,,,,,,,,3280
gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,,,,,542,542,542,542,542,542,,,,,,,,,,,,,,,3252
gonka1uzk2scggfzghr9a5j92l00gzw4jx4adc66977y,,,,3082,,,,,,,,,,,,,,,,,,,,,3082
gonka168yvlgt9jg86frg2z90cc8w4pz9hnd7f8lshux,1491,1491,,,,,,,,,,,,,,,,,,,,,,,2982
