address,current_status,epoch_220,epoch_221,epoch_222,epoch_223,epoch_224,epoch_225,epoch_226,epoch_227,epoch_228,epoch_229,epoch_230,epoch_231,epoch_232,epoch_233,epoch_234,epoch_235,epoch_236,epoch_237,epoch_238,epoch_239,epoch_240,epoch_241,epoch_242,epoch_243,epoch_244,epoch_245,epoch_246,epoch_247,epoch_248,epoch_249
gonka157lvhw8ay84qf6xs6rhvud7hjpnsp5zdcqg0s5,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15ayg9m2kcek8l6ent5vmmczkkujumq0alrtgwz,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15dyl07mzr3h6harfrmkkav9vhgv64gsa3qp0s8,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15ekp90x056vsuw37za6vt9p54r6kr7pr76hyyd,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15kf06ehfplnqtvgnndyfym9w9f63686cvw3nqj,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15pgw0fe32rv78hdj2clch9acy0mv08j7xkrmxz,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15phrun9xzcm2f9vz7lfef9yj26xjhte9jl2jvc,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15q3hcqdkvthz82rht3vxayfmx3u5hcq00evfxg,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15ra622ntmvwys9mxqncn2uv9vwknlytfu959ff,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15sptlamre9vq4m5t7pa7je5r2pc34kmlwvj0jz,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka15suq3puxz0ec7fnyurwf47qn8jqs8trhyw0uau,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka165eh4p7rkucdv3p0pd92l67rm8fw8apq0p2c9e,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka165pppmxfxxzu4dn33twqwq2rz5cnem2srprlnn,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka167ez4nvjumd0rrk78awcvxawwmf505cwrvk5nq,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka168yvlgt9jg86frg2z90cc8w4pz9hnd7f8lshux,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka169ms5ewh68ervhaxslul5cmfaavnt57nkmrvgt,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16as27w5m0jtskdgxx6hyhhm6r3khechwcc6quw,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16dqp2jfmnaahwxq5x7snn2h2ap026v5lwhr5m7,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16k03ze5ynkprsd4n6e5uzhthvu9jjk553rauqy,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16kc6rg5emg6n24pyu78a4m9p2q43tteppx4ee5,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16lsgkqgz25fj53rtp9kgdafec37kth6nnf4an4,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16p322ch887xjv67erm5dw0lgt4kqj9gz498pv7,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16qm4h6qlv5q65cz6q4m4z4h252tzk55hfu0u6f,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16r4kxszdpa6k7wakgt6wk6vus6txhqwqd5drkh,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16rq8wlak0r4v9cdqs8sk3k4j28rxveyzn4eu4h,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16s9lzz6z882l4lzhm6lh6p4xgsy7r4qlzlgq2u,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka16w7yu8apgeepr4xc44r6xq65nj2vxnykfcc0yy,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka174jxwp94lwgqr4nwlj5kke3z6fnat6p5dlg55x,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1756ph2flj5y6kw5xqktfgwj3s2ct54ddz0jj0e,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka179g6jf5uulrufkhwlymsmwwu93r0j2qvpkdh53,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17akw9frq5grupdh9fwtc4mym3fgcujf9esdmta,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17cnuuvplky4ck8hwj8smh6he6tgq6su45r5v5y,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17ef5hl0588tmjm9ypw7t2kge78wrkcpvyspc0p,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17f3cgvf0xd5rpafaqeugyqece62ahef2nexa9g,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17f97mtfja2d38q8vjw5vsx8w833398aymznrxm,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17fc94j99063t6ullr6cgu02ps7kwut28f9ggpj,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17fcahf38xh8ghzyyrc55tarz9nd0vw6xd29nsk,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17h7crvknkw8er5cuc43dgdp8eh974s5hahauuq,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17njwpngllwv7hlgsdx2h7n0yxjjsqgth2lsy72,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,ACTIVE,,,,,,,,,,,,INVALID,,,,INVALID,,,,,,,,,,,,,,
gonka17py7gzq2pa75eu2z0wzp9kjum20zgxxk2jrxss,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17sktsm7djnwla0txhlq3lpeekw3jz38y2shqj3,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17tlh09e32xpv2uj433ytjnwwd8fh24jclpzm5s,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17y2whumwxn6gmpwppg6q25947h82ev78w0kgup,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka183y38fjefqfgxafe05fw24rjtj4elzy84wxwdl,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka185kz5j9ur5jczu9wf2vful353vg3eahm77n39x,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,INVALID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID
gonka188qynuf5zs5966vzlrf2q2tj7h7laa995vrxr3,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1895n7u9np4s675vhksellqkpkqxk5xkv4upaxr,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18a9dnx4u7z0jqf66l4uk6zgnhszhd4qs5u7447,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18anrx4l59z34te42whq5nx3xy7ftlw0ka98lkx,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18d032cycta26ussz94was3us7tlwcgh4gx75xp,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18g789gnqf4990eel5dzgpx383t0fzdef6nmw2q,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18hns0dspklh6r89nyeg8qaph4vhfkd63tl7a37,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18jv6tlf26fekum8zxa5zmgnz7anqunkxddjaf9,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18qpw36ctvuea4g4ygvhlquhefc9ckglffelm98,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18tm9tu9rak460pjdpj6xvfeffk474h6xhgme3c,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18wn7au6ezwnswn9jaqhjkf7wa9plrppd0ufz3p,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
