participant_index,epoch,snapshot_available,snapshot_error,effective_block_height,real_reward_chain,simulated_reward_chain_formula,parent_base_weight,parent_confirmation_weight,current_inference_slot_weight,historical_inference_slot_weight,lost_inference_slot_weight,expected_lost_reward_ngnk,expected_lost_reward_gnk,excluded_reason,inference_count,missed_requests
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,248,True,,3828723,0,0,658,0,0,0,0,0,0,failed_confirmation_poc,54,0
gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,248,True,,3828723,0,0,6399,0,6399,6399,0,0,0,,364,7
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,248,True,,3828723,766737204179,766737204179,4930,2291,2460,2460,0,0,0,,331,0
gonka1slndy4rsmld579628302rj5gz8z9qf4v6ppmc4,248,True,,3828723,260376056242,260376056242,2166,778,0,0,0,0,0,,154,0
gonka1t8p0tjqls358gmzvd3rnnjulraq2k3m772vnt8,248,True,,3828723,0,0,4115,0,0,0,0,0,0,failed_confirmation_poc,0,17
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,248,True,,3828723,6588384374279,6588384374279,20980,19686,0,0,0,0,0,,1542,1
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,248,True,,3828723,0,0,1988,0,1988,1988,0,0,0,,278,1
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,248,True,,3828723,0,0,1540,0,1540,1540,0,0,0,,99,4
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,248,True,,3828723,250670522012,250670522012,2087,749,0,0,0,0,0,,126,0
gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,248,True,,3828723,181393088024,181393088024,1511,542,0,0,0,0,0,,77,4
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,248,True,,3828723,0,0,178,0,894,894,0,0,0,,9,0
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,248,True,,3828723,231594127146,231594127146,1928,692,0,0,0,0,0,,106,2
gonka1umvyh0rz5fdmk9qhxurshhchennajced6f4s89,248,True,,3828723,16531202182644,16531202182644,51714,49395,0,0,0,0,0,,5097,0
gonka1usmu5mfu8vsafvsrsvdutl50vy8kumdhv0j2x9,248,True,,3828723,0,0,1650,0,1650,1650,0,0,0,failed_confirmation_poc,338,200
gonka1uzk2scggfzghr9a5j92l00gzw4jx4adc66977y,248,True,,3828723,3904302149260,3904302149260,16113,11666,3082,3082,0,0,0,,1365,5
gonka1vcawx5jc2hahydd9sqw30hlxyd9ppupm9ez0yz,248,True,,3828723,0,0,1620,0,1620,1620,0,0,0,failed_confirmation_poc,60,8
gonka1vcvn2p5gczr5pynqq0ca0933tdrf5w64sjgtdg,248,True,,3828723,0,0,7485,7416,0,0,0,0,0,statistical_invalidations,166,1
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,248,True,,3828723,0,0,3061,0,0,0,0,0,0,failed_confirmation_poc,20,0
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,248,True,,3828723,0,0,10754,3394,0,0,0,0,0,,488,187
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,248,True,,3828723,2091375289793,2091375289793,8061,6249,0,0,0,0,0,,540,0
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,248,True,,3828723,0,0,755,0,755,755,0,0,0,,47,0
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,248,True,,3828723,0,0,1530,0,0,0,0,0,0,failed_confirmation_poc,13,0
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,248,True,,3828723,0,0,994,0,994,994,0,0,0,,63,2
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,248,True,,3828723,2988969869282,2988969869282,11051,8931,732,732,0,0,0,,1205,0
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,248,True,,3828723,858437768974,858437768974,2772,2565,0,0,0,0,0,,314,0
gonka1zpw8tml8xl4fm6zm8zpf2u4pq4tehmd9e2vgq7,248,True,,3828723,312919810522,312919810522,2604,935,0,0,0,0,0,,186,0
gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,248,True,,3828723,2146261759232,2146261759232,8289,6413,0,0,0,0,0,,492,0
